ID	species	Vetor_FST_Estimado	Bio8_spp_sd	SD_Bio8_FST1	Bio8_spp_sd_fstPop	range_PA_0K	expand	expo_clim
3581	Hyla_chinensis	0.348858363	4.676124606	3.773321491	3.773321491	92	129	64
3582	Brachycephalus_didactylus	0.069669759	1.394654435	1.345194804	1.345194804	7	14	3
3583	Limnonectes_mawlyndipi	0.069669759	0.694640076	0.670005557	0.694640076	1	1	0
3584	Duttaphrynus_crocus	0.069669759	0.820357269	0.791264351	0.820357269	1	2	0
3585	Eleutherodactylus_riparius	0.340863218	0.275341742	0.223542358	0.223542358	21	30	0
3586	Alytes_obstetricans	0.285222658	4.372659386	3.696843256	3.696843256	155	201	149
3587	Aplastodiscus_albosignatus	0.310516393	1.313487826	1.090656581	1.090656581	19	38	10
3588	Bufotes_shaartusiensis	0.069669759	4.126564187	3.980220882	4.126564187	1	2	0
3589	Ansonia_thinthinae	0.069669759	0.539382046	0.520253554	0.539382046	1	1	0
3590	Rhyacotriton_kezeri	0.238489467	0.739556457	0.645370769	0.739556457	2	2	0
3591	Austrochaperina_adamantina	0.407393783	0.709691156	0.546326786	0.709691156	2	3	0
3592	Cycloramphus_asper	0.069669759	1.311901589	1.265376682	1.265376682	6	10	2
3593	Centrolene_pipilatum	0.069669759	1.220827271	1.177532198	1.220827271	1	1	0
3594	Plectrohyla_miahuatlanensis	0.069669759	1.122903105	1.083080787	1.122903105	1	1	0
3595	Chiromantis_doriae	0.377736982	2.660341676	2.098574607	2.098574607	70	139	63
3596	Ansonia_spinulifer	0.315132948	0.682757269	0.565027349	0.565027349	6	12	0
3597	Mannophryne_urticans	0.069669759	0.804695728	0.776158227	0.804695728	1	1	0
3598	Rhinella_jimi	0.18537896	1.133561338	1.023111194	1.023111194	90	126	49
3599	Pseudophilautus_auratus	0.069669759	0.106127367	0.102363696	0.106127367	1	2	0
3600	Rana_spectabilis	0.296840246	2.35375656	1.973733653	1.973733653	14	24	8
3601	Pristimantis_shrevei	0.069669759	0.621935304	0.599879166	0.621935304	1	2	0
3602	Leptodactylus_mystacinus	0.253376359	2.641289169	2.282268935	2.282268935	551	624	494
3603	Gastrotheca_dunni	0.069669759	0.885371882	0.853973304	0.885371882	1	1	0
3604	Cardioglossa_occidentalis	0.069669759	0.901466223	0.86949688	0.901466223	1	2	0
3605	Hypsiboas_albomarginatus	0.279763583	1.62665135	1.380486031	1.380486031	87	129	53
3606	Eleutherodactylus_gundlachi	0.413147204	0.202510436	0.155135789	0.155135789	7	14	0
3607	Hyperolius_polystictus	0.069669759	1.123092537	1.083263501	1.123092537	1	1	0
3608	Pseudohynobius_puxiongensis	0.069669759	1.861485778	1.795470573	1.861485778	1	1	0
3609	Phrynobatrachus_gutturosus	0.069669759	1.253956049	1.209486107	1.209486107	85	128	37
3610	Eleutherodactylus_leprus	0.385628327	1.728176597	1.354577044	1.354577044	13	26	4
3611	Limnonectes_taylori	0.069669759	0.721454155	0.695868709	0.721454155	1	1	0
3612	Dendropsophus_mathiassoni	0.432472981	2.204068665	1.660421666	1.660421666	20	40	12
3613	Stefania_scalae	0.069669759	1.02622146	0.989827832	1.02622146	1	2	0
3614	Boophis_praedictus	0.269561371	0.608064888	0.519686928	0.608064888	3	3	0
3615	Nyctixalus_pictus	0.069669759	1.12660561	1.086651987	1.086651987	43	86	25
3616	Hynobius_dunni	0.206726872	0.886320848	0.789409478	0.886320848	2	4	0
3617	Platymantis_adiastolus	0.357325014	0.215483317	0.172746538	0.215483317	2	4	0
3618	Oreolalax_puxiongensis	0.069669759	2.028846668	1.956896224	2.028846668	1	1	0
3619	Rana_zhengi	0.069669759	3.0045025	2.897951674	3.0045025	1	2	0
3620	Rana_pueblae	0.069669759	1.409492507	1.359506664	1.409492507	1	2	0
3621	Bombina_lichuanensis	0.069669759	1.248864268	1.204574899	1.248864268	1	1	0
3622	Pseudophilautus_abundus	0.069669759	0.106127367	0.102363696	0.106127367	1	2	0
3623	Batrachyla_leptopus	0.331614487	2.654271398	2.169995541	2.169995541	33	47	28
3624	Ranitomeya_ventrimaculata	0.419750506	0.80454306	0.612853511	0.612853511	253	322	29
3625	Hyla_arborea	0.277984286	6.514887442	5.53579809	5.53579809	613	772	606
3626	Litoria_graminea	0.069669759	0.819692835	0.79062348	0.819692835	1	1	0
3627	Nyctibatrachus_beddomii	0.069669759	1.092241896	1.053506939	1.053506939	5	10	1
3628	Nanorana_gammii	0.069669759	8.417375778	8.118864345	8.417375778	1	1	0
3629	Bolitoglossa_lignicolor	0.21335403	0.466887598	0.414096919	0.466887598	4	8	0
3630	Rhinella_acutirostris	0.276080844	2.362687163	2.010255486	2.010255486	81	123	69
3631	Rhinella_scitula	0.069669759	0.419189819	0.40432379	0.419189819	2	2	0
3632	Strongylopus_springbokensis	0.292238712	0.66655741	0.560765082	0.66655741	4	7	0
3633	Limnonectes_isanensis	0.069669759	0.890767878	0.859177938	0.890767878	1	2	0
3634	Geotrypetes_seraphini	0.117603786	1.70078041	1.597644185	1.597644185	127	180	102
3635	Duttaphrynus_kotagamai	0.069669759	0.647293881	0.624338434	0.647293881	1	2	0
3636	Craugastor_stuarti	0.348058471	2.382866467	1.923995398	2.382866467	4	8	2
3637	Boophis_madagascariensis	0.268387208	1.529820632	1.308522392	1.308522392	21	42	7
3638	Phrynobatrachus_pakenhami	0.069669759	0.450730749	0.434746161	0.450730749	2	4	0
3639	Hyperolius_protchei	0.069669759	0.608077903	0.5865132	0.608077903	1	2	0
3640	Craugastor_vulcani	0.069669759	1.532489017	1.47814126	1.532489017	2	2	0
3641	Natalobatrachus_bonebergi	0.372552909	1.888087061	1.495583176	1.495583176	11	17	4
3642	Hylodes_asper	0.331285664	1.40163771	1.146188615	1.146188615	19	36	9
3643	Melanophryniscus_fulvoguttatus	0.40017996	0.815105077	0.631282985	0.631282985	14	28	1
3644	Atelognathus_jeinimenensis	0.369501213	0.122086045	0.096941147	0.122086045	2	2	0
3645	Ecnomiohyla_fimbrimembra	0.069669759	0.753223087	0.726510997	0.753223087	1	2	0
3646	Nyctimystes_trachydermis	0.365881532	0.557933499	0.444291126	0.557933499	2	4	0
3647	Dendrotriton_chujorum	0.069669759	0.40895931	0.394456093	0.40895931	1	1	0
3648	Philautus_erythrophthalmus	0.069669759	0.749319095	0.722745454	0.749319095	1	2	0
3649	Cynops_fudingensis	0.069669759	2.318140991	2.235931095	2.318140991	1	2	0
3650	Amietophrynus_maculatus	0.220326227	2.219108501	1.959453673	1.959453673	811	986	724
3651	Centrolene_sabini	0.069669759	3.194737917	3.081440636	3.194737917	1	1	0
3652	Pristimantis_anotis	0.069669759	0.665358433	0.64176235	0.665358433	1	2	0
3653	Allobates_grillisimilis	0.069669759	0.689029123	0.664593589	0.689029123	1	2	0
3654	Eleutherodactylus_rogersi	0.395988126	0.132176555	0.102725241	0.132176555	3	6	0
3655	Arlequinus_krebsi	0.402687561	1.298919407	1.003882735	1.298919407	2	4	0
3656	Plectrohyla_cembra	0.069669759	4.011531215	3.869267407	4.011531215	2	2	1
3657	Batrachoseps_campi	0.234214513	1.049547275	0.918450111	1.049547275	2	4	0
3658	Teratohyla_adenocheira	0.069669759	1.1289382	1.088901855	1.1289382	1	2	0
3659	Brachycephalus_izecksohni	0.069669759	1.194638385	1.152272067	1.194638385	1	1	0
3660	Phrynomedusa_fimbriata	0.069669759	1.07601254	1.037853136	1.07601254	1	2	0
3661	Dendrophryniscus_stawiarskyi	0.069669759	1.363163417	1.314820575	1.363163417	1	1	0
3662	Ambystoma_dumerilii	0.069669759	1.372955725	1.324265611	1.372955725	1	1	0
3663	Boophis_blommersae	0.069669759	0.82554791	0.796270913	0.796270913	5	10	1
3664	Isthmohyla_lancasteri	0.069669759	0.826353401	0.797047838	0.826353401	1	2	0
3665	Sphaenorhynchus_mirim	0.069669759	0.425992719	0.410885433	0.425992719	1	2	0
3666	Bolitoglossa_chinanteca	0.069669759	0.794523073	0.766346331	0.794523073	1	1	0
3667	Telmatobius_espadai	0.330838156	5.042870681	4.125184867	5.042870681	3	6	2
3668	Pelophylax_demarchii	0.069669759	0.481218432	0.464152637	0.481218432	1	1	0
3669	Bolitoglossa_platydactyla	0.210826702	3.145149356	2.794006841	2.794006841	14	28	8
3670	Colostethus_dunni	0.069669759	0.485129343	0.467924853	0.485129343	1	1	0
3671	Telmatobius_vilamensis	0.330423156	1.703705139	1.394102308	1.703705139	2	2	0
3672	Pleurodema_kriegi	0.371252684	0.366683822	0.290756761	0.366683822	2	2	0
3673	Oedipina_carablanca	0.227833965	0.202820076	0.178224042	0.202820076	2	3	0
3674	Plethodon_mississippi	0.197971452	0.722796734	0.64730818	0.64730818	16	32	1
3675	Pseudopaludicola_parnaiba	0.069669759	0.401025652	0.386803792	0.401025652	1	2	0
3676	Bufo_luchunnicus	0.069669759	2.502699727	2.413944692	2.502699727	1	2	0
3677	Oedipina_kasios	0.204097032	0.874388779	0.780071908	0.874388779	2	2	0
3678	Xenohyla_truncata	0.069669759	0.959729661	0.92569408	0.92569408	7	10	1
3679	Telmatobius_carrillae	0.069669759	0.604649702	0.583206576	0.604649702	1	1	0
3680	Hemiphractus_fasciatus	0.280558342	2.25215274	1.910273854	1.910273854	23	46	17
3681	Craugastor_charadra	0.069669759	0.408917603	0.394415865	0.408917603	4	4	0
3682	Austrochaperina_guttata	0.069669759	1.876941413	1.810378094	1.876941413	4	8	2
3683	Pachyhynobius_shangchengensis	0.200590554	5.381151999	4.81127186	5.381151999	4	8	4
3684	Litoria_littlejohni	0.282058508	1.577767105	1.336864601	1.336864601	19	35	10
3685	Limnonectes_macrodon	0.202505433	0.551931262	0.492888698	0.492888698	20	29	1
3686	Tepuihyla_galani	0.069669759	0.134507041	0.129736921	0.134507041	2	4	0
3687	Pyxicephalus_edulis	0.183853141	2.638687235	2.38381239	2.38381239	340	467	326
3688	Telmatobius_scrocchii	0.069669759	2.392022219	2.307192219	2.392022219	2	4	1
3689	Bokermannohyla_oxente	0.069669759	0.678953908	0.654875679	0.678953908	1	1	0
3690	Mixophyes_carbinensis	0.069669759	0.030186647	0.029116116	0.030186647	2	3	0
3691	Afrixalus_vibekensis	0.405261322	0.830520654	0.640491734	0.830520654	3	6	0
3692	Pristimantis_modipeplus	0.069669759	0.818147332	0.789132787	0.818147332	1	1	0
3693	Adenomera_coca	0.069669759	1.486644688	1.433922741	1.486644688	1	1	0
3694	Craugastor_occidentalis	0.40286859	3.65622263	2.825319654	2.825319654	17	32	12
3695	Pristimantis_pugnax	0.069669759	0.663417489	0.639890239	0.663417489	4	8	0
3696	Nectophrynoides_pseudotornieri	0.069669759	1.104925713	1.065740941	1.104925713	1	2	0
3697	Pelophryne_albotaeniata	0.069669759	0.459375948	0.443084769	0.459375948	1	2	0
3698	Tomopterna_natalensis	0.343425774	2.852348302	2.311236949	2.311236949	68	98	62
3699	Kassina_maculosa	0.337784018	0.90112414	0.733304674	0.733304674	87	87	52
3700	Leptodactylus_hylodes	0.069669759	0.725928761	0.700184628	0.725928761	1	2	0
3701	Batrachylodes_wolfi	0.388874484	0.165517354	0.129392393	0.129392393	9	13	0
3702	Leptolalax_kajangensis	0.069669759	0.639358442	0.616684415	0.639358442	1	2	0
